ik,I
de muis,the mouse
het konijn,the rabbit
de haas,the hare
de boerderij,the farm
de koe,the cow
het paard,the horse
het varken,the pig
de ezel,the donkey
de kip,the chicken
de haan,the cockerel
de vogel,the bird
de eend,the duck
de zwaan,the swan
de gans,the goose
de ooievaar,the stork
de mus,the sparrow
de duif,the pigeon
de vis,the fish
het hert,the deer
het insect,the insect
de vlieg,the fly
de bij,the bee
de vlinder,the butterfly
de spin,the spider
de voetbal,the football
het voetbal,football (soccer)
het doel,the goal
het doelpunt,the goal
het elftal,the football team
oranje,orange
oranje,the dutch football team
de spits,the striker
de middenvelder,the midfielder
de verdediger,the defender
de keeper,the goalkeeper
de doelverdediger,the goalkeeper
de scheidsrechter,the referee
de supporter,the fan
de twaalfde man,the fans
de eerste helft,the first half
de rust,half time
de tweede helft,the second half
schoppen,to kick
het schot,the shot
de redding,the save
redden,to save
de voorzet,the assist
de gele kaart,the yellow card
de rode kaart,the red card
de vrije trap,the free kick
de strafschop,the penalty
de hoekschop,the corner kick
buitenspel,offside
de kampioen,the champion
het ek,the european championship
het europees kampioenschap,the european championship
het wk,the world cup
het wereldkampioenschap,the world cup
nodig hebben,to need
vinden,to find/ to think (have an opinion)
bedoelen,to mean
bewegen,to move
nemen,to take
komen,to come
willen,to want
gebruiken,to use
geven,to give
vertellen,to tell
proberen,to try
lijken,to seem
laten zien,to show
spelen,to play
zitten,to sit
staan,to stand
betalen,to pay
ontmoeten,to meet
doorgaan,to continue
uitgeven,to spend
groeien,to grow
aanbieden,to offer
herinneren,to remember
overwegen,to consider
bouwen,to build
blijven,to stay
het weer,the weather
wat voor weer wordt het?,what will be the weather?
het weerbericht,the weather forecast
het bericht,the message
"lekker weer, hè",nice weather isn’t it?
zeker,(for) sure
mooi weer,nice weather
vandaag,today
de temperatuur,the temperature
de thermometer,the thermometer
graden,degrees
de graad,the degree
schijnen,to shine
slecht weer,bad weather
de neerslag,the precipitation
regenen,to rain
sneeuwen,to snow
hagelen,to hail
de wind,the wind
waaien,to blow
de storm,the storm
het onweer,the thunderstorm
de bliksem,the lightning
de donder,the thunder
de wolk,the cloud
bewolkt,cloudy
vriezen,to freeze
het ijs,the ice
ander,other
kort,short
lang,long
belangrijk,important
beter,better
best,best
enige,only
enkel,single
dubbel,double
vroeg,early
laat,late
vrij,free
heel,"whole, very"
echt,real
vol,full
leeg,empty
speciaal,special
duidelijk,clear
onduidelijk,unclear
beschikbaar,available
waarschijnlijk,probable
mogelijk,possible
huidig,current
verkeerd,wrong
juist,correct
klaar,ready
